file,key,english_text
t_buddies.php,error.cannot_send_to_self,"Cannot send buddy request to yourself."
t_buddies.php,error.user_not_found,"User not found."
t_buddies.php,error.cannot_send_to_admin,"Cannot send buddy requests to administrators."
t_buddies.php,error.cannot_send_to_user,"Cannot send buddy request to this user."
t_buddies.php,error.already_buddies,"You are already buddies with this user."
t_buddies.php,error.request_exists,"A buddy request already exists between these users."
t_buddies.php,error.request_not_found,"Buddy request not found."
t_buddies.php,error.not_authorized_accept,"You are not authorized to accept this request."
t_buddies.php,error.not_authorized_reject,"You are not authorized to reject this request."
t_buddies.php,error.not_authorized_cancel,"You are not authorized to cancel this request."
t_buddies.php,error.already_processed,"This request has already been processed."
t_buddies.php,error.relationship_not_found,"Buddy relationship not found."
t_buddies.php,error.cannot_ignore_self,"Cannot ignore yourself."
t_buddies.php,error.already_ignored,"Player is already ignored."
t_buddies.php,error.not_in_ignore_list,"Player is not in your ignored list."
t_buddies.php,error.send_request_failed,"Failed to send buddy request."
t_buddies.php,error.ignore_player_failed,"Failed to ignore player."
t_buddies.php,error.delete_buddy_failed,"Failed to delete buddy"
t_buddies.php,error.search_too_short,"Too few characters! Please put in at least 2 characters."
t_buddies.php,error.invalid_action,"Invalid action"
t_buddies.php,success.request_sent,"Buddy request sent successfully!"
t_buddies.php,success.request_cancelled,"Buddy request cancelled successfully."
t_buddies.php,success.request_accepted,"Buddy request accepted!"
t_buddies.php,success.request_rejected,"Buddy request rejected"
t_buddies.php,success.request_accepted_symbol,"✓ Buddy request accepted"
t_buddies.php,success.request_rejected_symbol,"✗ Buddy request rejected"
t_buddies.php,success.buddy_deleted,"Buddy deleted successfully!"
t_buddies.php,success.player_ignored,"Player ignored successfully!"
t_buddies.php,success.player_unignored,"Player unignored successfully."
t_buddies.php,ui.my_buddies,"My buddies"
t_buddies.php,ui.ignored_players,"Ignored Players"
t_buddies.php,ui.buddy_request,"buddy request"
t_buddies.php,ui.buddy_request_title,"Buddy request"
t_buddies.php,ui.buddy_request_to,"Buddy request to"
t_buddies.php,ui.buddy_requests,"Buddy requests"
t_buddies.php,ui.new_buddy_request,"New buddy request"
t_buddies.php,ui.write_message,"Write message"
t_buddies.php,ui.send_message,"Send message"
t_buddies.php,ui.send,send
t_buddies.php,ui.search_placeholder,Search...
t_buddies.php,ui.no_buddies_found,"No buddies found"
t_buddies.php,ui.no_buddy_requests,"You currently have no buddy requests."
t_buddies.php,ui.no_requests_sent,"You have not sent any buddy requests."
t_buddies.php,ui.no_ignored_players,"No ignored players"
t_buddies.php,ui.requests_received,"requests received"
t_buddies.php,ui.requests_sent,"requests sent"
t_buddies.php,ui.new,new
t_buddies.php,ui.new_label,New
t_buddies.php,ui.from,From:
t_buddies.php,ui.to,To:
t_buddies.php,ui.online,online
t_buddies.php,ui.status_on,On
t_buddies.php,ui.status_off,Off
t_buddies.php,ui.received_request_from,"You have received a new buddy request from"
t_buddies.php,ui.buddy_request_to_player,"Buddy request to player"
t_buddies.php,ui.ignore_player_title,"Ignore player"
t_buddies.php,action.accept_request,"Accept buddy request"
t_buddies.php,action.reject_request,"Reject buddy request"
t_buddies.php,action.withdraw_request,"Withdraw buddy request"
t_buddies.php,action.delete_buddy,"Delete buddy"
